object,week,total_m,total_rs,avg_re,count,unique_sources,pmi_level,conf_mean,rolling_mean,rolling_std,market_status
Coal & Energy,2024-07-01,0.0,0.0,0.0,1,1,3.0,1.0,,,Inertia (Low Data)
Coal & Energy,2024-07-08,3.336472236621213,0.0,0.0,1,1,3.04,1.0,3.02,0.028284271247461926,Inertia (Low Data)
Coal & Energy,2024-08-05,5.322387720290225,0.0,0.0,1,1,3.07,1.0,3.0366666666666666,0.03511884584284239,Inertia (Low Data)
Coal & Energy,2024-08-26,3.4054651081081646,0.0,0.0,1,1,3.04,1.0,3.0375,0.028722813232690082,Inertia (Low Data)
Coal & Energy,2024-09-09,4.96009478404727,0.0,0.0,1,1,3.06,1.0,3.0525,0.014999999999999685,Inertia (Low Data)
Coal & Energy,2024-09-23,13.602689685444384,0.0,0.0,8,2,3.47,1.0,3.16,0.20704266871026042,Stable Growth
Coal & Energy,2024-09-30,8.870169050578646,0.0,0.0,2,1,3.16,1.0,3.1825,0.19872510326243792,Inertia (Low Data)
Coal & Energy,2024-10-07,2.5,0.0,0.0,1,1,3.03,1.0,3.1799999999999997,0.20116328359486138,Inertia (Low Data)
Coal & Energy,2024-10-21,0.0,0.0,0.0,1,1,3.0,1.0,3.165,0.21486429825977754,Inertia (Low Data)
Coal & Energy,2024-11-04,3.0,0.0,0.0,1,1,3.04,1.0,3.0575,0.07041543391425835,Inertia (Low Data)
Coal & Energy,2024-11-11,1.0,0.0,3.0,1,1,3.01,0.5,3.02,0.01825741858350417,Inertia (Low Data)
Coal & Energy,2024-11-18,1.2,0.0,0.0,2,1,3.02,1.0,3.0175,0.017078251276597907,Inertia (Low Data)
Coal & Energy,2024-11-25,3.182321556793955,0.0,0.0,1,1,3.04,1.0,3.0275000000000003,0.014999999999998367,Inertia (Low Data)
Coal & Energy,2024-12-02,8.014903020542265,12.0,0.0,2,2,2.82,1.0,2.9725,0.102428837085396,Inertia (Low Data)
Coal & Energy,2024-12-09,4.9459101490553135,0.0,0.0,1,1,3.06,1.0,2.985,0.11120551545074833,Inertia (Low Data)
Coal & Energy,2024-12-23,5.442347035369204,0.0,0.0,1,1,3.07,1.0,2.9975,0.11898879499067672,Inertia (Low Data)
Coal & Energy,2025-01-06,0.5,0.0,0.0,1,1,3.01,1.0,2.9899999999999998,0.11633285577743409,Inertia (Low Data)
Coal & Energy,2025-01-13,9.211649779776462,0.0,0.0,2,1,3.16,1.0,3.075,0.06244997998398387,Inertia (Low Data)
Coal & Energy,2025-01-20,0.2,0.0,0.0,1,1,3.0,1.0,3.06,0.07348469228349515,Inertia (Low Data)
Coal & Energy,2025-02-10,3.4700036292457357,0.0,0.0,1,1,3.04,1.0,3.0525,0.07365459931328096,Inertia (Low Data)
Coal & Energy,2025-02-17,5.43361335540045,0.0,0.0,1,1,3.07,1.0,3.0675,0.06800735254367699,Inertia (Low Data)
Coal & Energy,2025-02-24,6.36464311358791,0.0,0.3333333333333333,3,1,3.14,0.9333333333333333,3.0625,0.05909032633745245,Stable Growth
Coal & Energy,2025-03-03,12.532979798087693,0.0,0.0,4,2,3.31,1.0,3.14,0.1208304597359455,Stable Growth
Coal & Energy,2025-03-10,7.36885603013597,1.5,0.0,3,1,3.11,1.0,3.1574999999999998,0.10563301251660522,Stable Growth
Coal & Energy,2025-03-17,5.145910149055314,1.5,0.0,2,1,3.05,1.0,3.1525,0.11146748404803954,Inertia (Low Data)
Coal & Energy,2025-04-14,5.066862759472976,0.0,0.0,2,1,3.09,1.0,3.1399999999999997,0.11604596790352781,Inertia (Low Data)
Coal & Energy,2025-04-21,6.645910149055314,0.0,0.0,2,1,3.12,1.0,3.0925,0.03095695936834293,Inertia (Low Data)
Coal & Energy,2025-05-05,14.254755614003454,0.0,0.16666666666666666,6,1,3.43,0.9666666666666667,3.1725,0.17404501333467337,Stable Growth
Coal & Energy,2025-05-12,5.8903717578961645,0.0,0.0,1,1,3.07,1.0,3.1775,0.16958282145704887,Inertia (Low Data)
Coal & Energy,2025-05-19,0.2,0.0,1.0,2,1,3.0,0.8,3.1550000000000002,0.1898244803320513,Inertia (Low Data)
Coal & Energy,2025-06-02,8.890371757896165,0.0,0.0,2,1,3.16,1.0,3.165,0.18841443681416767,Inertia (Low Data)
Coal & Energy,2025-06-09,13.82395157629342,0.0,0.0,5,1,3.38,1.0,3.1525,0.1652018966799916,Stable Growth
Coal & Energy,2025-06-16,0.5,0.0,0.0,1,1,3.01,1.0,3.1375,0.1774589154330281,Inertia (Low Data)
Coal & Energy,2025-06-23,9.154870494892288,0.0,0.0,2,2,3.16,1.0,3.1775,0.15239750654128165,Inertia (Low Data)
Coal & Energy,2025-07-14,0.0,0.0,0.0,1,1,3.0,1.0,3.1375,0.1774589154330281,Inertia (Low Data)
Coal & Energy,2025-07-21,22.499809670330265,0.0,5.0,7,2,3.71,0.5,3.22,0.3347635981803677,Stable Growth
Coal & Energy,2025-07-28,5.091864061678393,0.0,0.0,1,1,3.06,1.0,3.2325000000000004,0.3251025479239846,Inertia (Low Data)
Coal & Energy,2025-08-04,3.9,0.0,0.0,5,2,3.11,1.0,3.2199999999999998,0.3297473780537661,Stable Growth
Coal & Energy,2025-08-11,10.969188104182082,1.5,0.3333333333333333,3,1,3.19,0.9333333333333333,3.2674999999999996,0.29981939007787123,Stable Growth
Coal & Energy,2025-08-18,26.66632453255886,0.0,2.3333333333333335,6,3,3.77,0.5333333333333332,3.2824999999999998,0.32938073208168495,Stable Growth
Coal & Energy,2025-08-25,8.095254706956865,0.0,0.0,4,2,3.2,1.0,3.3175,0.30434355587066414,Stable Growth
Coal & Energy,2025-09-01,3.0,0.0,0.0,1,1,3.04,1.0,3.3,0.32176596049509865,Inertia (Low Data)
Coal & Energy,2025-09-08,3.1,0.0,0.0,2,1,3.05,1.0,3.265,0.3445286635390444,Inertia (Low Data)
Coal & Energy,2025-09-15,17.367843429196647,0.0,2.5,4,2,3.43,0.5,3.1799999999999997,0.18202563921968054,Stable Growth
Coal & Energy,2025-09-29,6.0,0.0,0.0,2,2,3.11,1.0,3.1574999999999998,0.18427786989579972,Inertia (Low Data)
Coal & Energy,2025-10-06,14.930427442160369,0.0,0.0,5,2,3.41,1.0,3.25,0.19798989873223335,Stable Growth
Coal & Energy,2025-10-13,20.525456283185488,0.0,0.0,7,3,3.65,1.0,3.4,0.22181073012818814,Stable Growth
Coal & Energy,2025-10-20,18.097876509801587,0.0,0.0,4,2,3.44,1.0,3.4025,0.22231734075415688,Stable Growth
Coal & Energy,2025-10-27,18.459244654144594,15.0,0.0,5,2,2.89,1.0,3.3475,0.3231485726411303,Stable Growth
Coal & Energy,2025-11-03,17.961113817550494,0.0,0.0,6,2,3.54,1.0,3.3800000000000003,0.33773757070640886,Stable Growth
Coal & Energy,2025-11-10,4.308332819650179,0.0,0.0,1,1,3.05,1.0,3.23,0.30994623189622195,Inertia (Low Data)
Coal & Energy,2025-11-17,35.63849217283591,0.0,0.7272727272727273,11,3,4.26,0.8545454545454545,3.435,0.6156026857208036,Strong Consensus
Coal & Energy,2025-11-24,12.054123733695546,13.5,0.5,8,3,2.71,0.9,3.3899999999999997,0.6726564254258384,Structural Crisis
Coal & Energy,2025-12-01,9.944543571616778,0.0,0.8,5,3,3.28,0.84,3.3249999999999997,0.6658578426861596,Stable Growth
